UMAP1,UMAP2,company
-2.8581004,-21.341328,Subaru of Kennesaw
-0.68709,3.9002013,Amk Technology Sdn Bhd
1.0431453,5.93733,Dlkgroup
1.2238814,-1.8762729,IT Managers Inc
2.5556667,-5.09071,Marathon Insurance Brokers
41.56478,-14.147877,Ingredion
1.6143641,5.628415,Specialists Company
2.9253635,-1.8434324,Zentist
41.827797,-13.809955,Framatome
-37.58018,29.934248,Top Skills Recruitment
-4.132674,3.2306015,Hire Horatio CX
36.099575,0.3829592,The Guinness Partnership
35.84252,0.3691887,JH Partners (Asia) Company Limited
-0.40263003,4.5637865,Emory Healthcare/Emory University
-0.14572069,-32.77918,MYCON General Contractors Inc
1.2869428,-1.7431152,McQueens Dairies
0.11056517,2.6164014,Softworld Inc
1.2072992,-3.3768969,Vienna Insurance Group AG Wiener Versicherung Gruppe
16.067984,0.73051786,Schaub Recruitment
3.010654,-1.6645086,Genpact
11.171888,4.9242473,RICHARD LOMBART CONSULTING & THE EXECUTIVE WAY Paris Shanghai Hong-Kong
-1.7513777,4.453219,Meta Inc
-21.66603,-24.493387,Frvr
-20.453499,24.451649,บริษัท ไทยออยล์ เอนเนอร์ยี เซอร์วิส จำกัด
-37.572033,29.958817,BlackRock Singapore Ltd
3.3586593,0.2575634,Automation Anywhere
1.3651401,0.54672503,Interzero GmbH & Co. KG
0.9858158,4.2668104,University Health System- San Antonio
-2.8773646,-21.362505,YM Staffing Solution
-2.5978417,-0.05166161,WestJet
1.4627355,0.5064873,Huntington National Bank
19.675648,-23.96696,ZEDGE
-2.5722976,4.81891,LucaNet
3.0948777,-1.6021626,TRILATERAL RESEARCH LTD
3.35125,0.1925085,Talent Stack
-8.986403,16.518227,denkwerk
1.1714753,0.8506741,Langara College
7.5356126,-7.6487007,Multiverse
-37.55111,29.959955,CELIO
1.064937,1.2665838,Karleigh Chavez
-4.132375,-7.57365,Jellyfish Group Ltd
-0.7138803,3.1225045,Isatis Business Solutions
4.340021,0.111023195,HiTek Staffing LLC
-2.656818,0.1363313,InfoCentric
35.57577,0.09109557,Patriot Solutions Group
-1.272372,2.7915592,CAYS Inc.
0.46595147,4.688097,INSIDEA
-0.9516481,4.710245,AKTON Resourcing Ltd
-2.4063425,0.57425284,RSM US LLP
-0.551113,4.17409,Farmer Mac
18.514633,-24.702147,TQ Solutions
35.912983,0.16778494,Trax Group
-0.27802387,1.6841909,Bakkt
1.3421905,2.7606466,TEQLINX
-6.159466,1.362189,CMP.jobs
0.8283503,-0.82709765,Psa Corporation Limited
1.1531892,6.1186247,Zeina Group
1.0741526,5.805885,Mobile Communications America Inc
13.892469,12.431679,"DMC Urban Property Developers, Inc."
-2.9137495,4.191826,"Railserve, Inc."
1.648138,-2.2970862,NewTrek Systems Limited
0.8267635,-0.9098799,SoluGrowth (Pty) Ltd.
-21.644503,-24.61061,Avid Marketing Group
0.25853187,4.4134517,Bouygues Telecom
35.626568,0.0651988,Trenkwalder Personaldienste GmbH
-6.107352,1.3272018,PRT Staffing
3.007718,0.8097026,"HelloConnect, Inc."
2.8845644,-1.7898152,Engel & Völkers Greece
35.61252,0.19222608,Pure Resourcing Solutions Limited
-37.586384,29.949371,Beehire Personnel Limited
11.088739,5.006691,Santa Monica Travel & Tourism
-2.7911348,0.30716595,Sleeping Duck
18.52037,-24.698568,ENIN System Inc
13.884377,12.422625,Thuridion
16.3078,-2.6492298,Stellar Innovations
